ID,Name
10000027,Etherium_Reach
10000002,The_Forge
10000029,Geminate
10000070,Pochven
10000054,Aridia
10000069,Black_Rise
10000055,Branch
10000014,Catch
10000051,Cloud_Ring
10000053,Cobalt_Edge
10000012,Curse
10000035,Deklein
10000060,Delve
10000001,Derelik
10000005,Detorid
10000036,Devoid
10000043,Domain
10000039,Esoteria
10000064,Essence
10000037,Everyshore
10000046,Fade
10000056,Feythabolis
10000058,Fountain
10000067,Genesis
10000011,Great_Wildlands
10000030,Heimatar
10000025,Immensea
10000031,Impass
10000009,Insmother
10000052,Kador
10000049,Khanid
10000065,Kor-Azor
10000016,Lonetrek
10000013,Malpais
10000042,Metropolis
10000028,Molden_Heath
10000040,Oasa
10000062,Omist
10000021,Outer_Passage
10000057,Outer_Ring
10000059,Paragon_Soul
10000063,Period_Basis
10000066,Perrigen_Falls
10000048,Placid
10000047,Providence
10000023,Pure_Blind
10000050,Querious
10000008,Scalding_Pass
10000032,Sinq_Laison
10000044,Solitude
10000022,Stain
10000041,Syndicate
10000020,Tash-Murkon
10000045,Tenal
10000061,Tenerifis
10000038,The_Bleak_Lands
10000033,The_Citadel
10000034,The_Kalevala_Expanse
10000018,The_Spire
10000010,Tribute
10000003,Vale_of_the_Silent
10000015,Venal
10000068,Verge_Vendor
10000006,Wicked_Creek
